Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Dakota Johnson Diduga Kencan dengan Eks Pacar Megan Fox di Rumah Taylor Swift,https://wolipop.detik.com/entertainment-news/d-8665819/dakota-johnson-diduga-kencan-dengan-eks-pacar-megan-fox-di-rumah-taylor-swift,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Viral Gen Z Pilih Nikah Cuma di KUA, Lanjut Kulineran Pakai Baju Pengantin",https://wolipop.detik.com/wedding-news/d-8671424/viral-gen-z-pilih-nikah-cuma-di-kua-lanjut-kulineran-pakai-baju-pengantin,Netral,0.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,"Gaya Calon Ratu Spanyol Debut di Grand Prix, Bertemu Fernando Alonso",https://wolipop.detik.com/celeb-style/d-8666010/gaya-calon-ratu-spanyol-debut-di-grand-prix-bertemu-fernando-alonso,Positif,50.0
2026-09-26 10:37:58,Wolipop,Newsfeed Rekomendasi,Ji Chang Wook Ungkap Kisah di Balik Adegan 18+ dengan Nana di The Scandal,https://wolipop.detik.com/entertainment-news/d-8676362/ji-chang-wook-ungkap-kisah-di-balik-adegan-18-dengan-nana-di-the-scandal,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Box Berita Utama,Polisi Ungkap Nasib 2 Laporan yang Seret Vicky Prasetyo,https://hot.detik.com/celeb/d-8660747/polisi-ungkap-nasib-2-laporan-yang-seret-vicky-prasetyo,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Box Berita Utama,5 Saksi Diperiksa Kasus Dugaan Penggelapan Dana Diana Pungky,https://hot.detik.com/celeb/d-8660708/5-saksi-diperiksa-kasus-dugaan-penggelapan-dana-diana-pungky,Negatif,-100.0
2026-09-26 10:37:58,DetikHot Celebs,Box Berita Utama,Kebaikan yang Menular! Istri Arief Muhammad Berbagi di Momen Ultah,https://hot.detik.com/celeb/d-8659557/kebaikan-yang-menular-istri-arief-muhammad-berbagi-di-momen-ultah,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Box Berita Utama,Betrand Peto Bantah soal Tudingan Dugaan Pelecehan Seksual,https://hot.detik.com/celeb/d-8661862/betrand-peto-bantah-soal-tudingan-dugaan-pelecehan-seksual,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Box Berita Utama,Maudy Ayunda Minta Maaf soal Konten Mindfulness,https://hot.detik.com/celeb/d-8661915/maudy-ayunda-minta-maaf-soal-konten-mindfulness,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Headline,Sumbangsih Tak Lekang Waktu dari Guruh Soekarnoputra Untuk Dunia Hiburan,https://hot.detik.com/celeb/d-8679750/sumbangsih-tak-lekang-waktu-dari-guruh-soekarnoputra-untuk-dunia-hiburan,Netral,0.0
