Waktu Tarik,Sumber,Kategori,Judul,URL
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Operasi Anyar Trump di Iran Lewat 'Tanker for Tanker',https://news.detik.com/internasional/d-8645968/operasi-anyar-trump-di-iran-lewat-tanker-for-tanker
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Yang Diketahui soal Menantu Amien Rais Mundur dari Ketum Partai Ummat,https://news.detik.com/berita/d-8645988/yang-diketahui-soal-menantu-amien-rais-mundur-dari-ketum-partai-ummat
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Pria di Lampung Ditembak Berkali-kali saat Tagih Utang Rp 20 Juta,https://news.detik.com/berita/d-8646023/pria-di-lampung-ditembak-berkali-kali-saat-tagih-utang-rp-20-juta
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Ternyata Vinna Ledy Sudah Diperiksa Sebelum Aset Mewah Disita KPK,https://news.detik.com/berita/d-8646013/ternyata-vinna-ledy-sudah-diperiksa-sebelum-aset-mewah-disita-kpk
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Polisi Hitung Jumlah Gift Dicairkan Karyawan dari Nguras TikTok Vilmei,https://news.detik.com/berita/d-8646076/polisi-hitung-jumlah-gift-dicairkan-karyawan-dari-nguras-tiktok-vilmei
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Ace Hasan hingga JK Hadiri GIHES 2026, Bicara soal Pendidikan Pesantren",https://news.detik.com/berita/d-8650343/ace-hasan-hingga-jk-hadiri-gihes-2026-bicara-soal-pendidikan-pesantren
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Cucun Ajak Santri Kenali Peran DPR & Berani Bermimpi Jadi Pemimpin Bangsa,https://news.detik.com/berita/d-8647307/cucun-ajak-santri-kenali-peran-dpr-berani-bermimpi-jadi-pemimpin-bangsa
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"JK, Ma'ruf Amin hingga Boediono Hadiri Sidang Tahunan-Sidang Bersama 2026",https://news.detik.com/berita/d-8617854/jk-maruf-amin-hingga-boediono-hadiri-sidang-tahunan-sidang-bersama-2026
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Perkuat Soliditas, Bea Cukai Priok dan Polri Gelar Baksos untuk Anak-anak",https://news.detik.com/berita/d-8650340/perkuat-soliditas-bea-cukai-priok-dan-polri-gelar-baksos-untuk-anak-anak
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"AHY: Sumber Daya Alam Harus Kita Olah, tapi Jangan Korbankan Lingkungan",https://news.detik.com/berita/d-8650327/ahy-sumber-daya-alam-harus-kita-olah-tapi-jangan-korbankan-lingkungan
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Kondisi Terkini Erupsi Anak Krakatau, Terdengar Dentuman dari Pos Pasauran",https://news.detik.com/berita/d-8650310/kondisi-terkini-erupsi-anak-krakatau-terdengar-dentuman-dari-pos-pasauran
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Hujan Abu Erupsi Anak Krakatau, Warga Pandeglang Diimbau Pakai Masker",https://news.detik.com/berita/d-8650290/hujan-abu-erupsi-anak-krakatau-warga-pandeglang-diimbau-pakai-masker
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,AHY: Kekuasaan Bukan Milik Seseorang untuk Selamanya,https://news.detik.com/berita/d-8650285/ahy-kekuasaan-bukan-milik-seseorang-untuk-selamanya
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Identitas 3 Korban Tewas Akibat Kecelakaan Beruntun di Jakbar,https://news.detik.com/berita/d-8650248/identitas-3-korban-tewas-akibat-kecelakaan-beruntun-di-jakbar
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,PKS Minta Pemulihan Gempa NTT Diperkuat: Masyarakat Masih Trauma,https://news.detik.com/berita/d-8650225/pks-minta-pemulihan-gempa-ntt-diperkuat-masyarakat-masih-trauma
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"HUT ke-25 Demokrat, AHY Instruksikan Kader Tak Abai Kondisi Nyata Rakyat",https://news.detik.com/berita/d-8650223/hut-ke-25-demokrat-ahy-instruksikan-kader-tak-abai-kondisi-nyata-rakyat
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Kronologi Kecelakaan Maut di Kembangan Jakbar, Dipicu Mobil Listrik",https://news.detik.com/berita/d-8650222/kronologi-kecelakaan-maut-di-kembangan-jakbar-dipicu-mobil-listrik
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Porter di Pelabuhan Ambon Jatuh Saat Berebut Masuk Kapal,https://news.detik.com/berita/d-8650220/porter-di-pelabuhan-ambon-jatuh-saat-berebut-masuk-kapal
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Dugaan Sumber Dentuman di Bandung: Anak Krakatau hingga Skyquake,https://news.detik.com/berita/d-8650209/dugaan-sumber-dentuman-di-bandung-anak-krakatau-hingga-skyquake
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Pandeglang Diguyur Hujan Abu Usai Gunung Anak Krakatau Erupsi,https://news.detik.com/berita/d-8650202/pandeglang-diguyur-hujan-abu-usai-gunung-anak-krakatau-erupsi
