Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen,Wilayah,Topik / Kata Kunci,Volume Pencarian,Judul Berita
2026-09-08 05:19:55,Google Trends ID,,,https://www.gsmarena.com/leaked_video_shows_iphone_18_pro_max_in_dark_cherry_and_18_pro_in_blue-news-74493.php,Netral,0.0,Indonesia,iphone 18 pro,500+,Leaked video shows iPhone 18 Pro Max in Dark Cherry and 18 Pro in Blue - GSMArena.com news
2026-09-08 05:19:55,Google Trends ID,,,https://www.espn.com/watch/player/_/eventCalendarId/401882893/country/us/redirected/MQTrMNdw%3D%3D,Positif,20.0,Indonesia,real sociedad,1000+,Elche CF vs. Real Sociedad (Matchday #4)
2026-09-08 05:19:55,Google Trends ID,,,https://pontianakpost.jawapos.com/sepak-bola/2609070005/prediksi-skor-getafe-vs-celta-vigo-di-liga-spanyol-adu-ketajaman-yang-masih-tumpul,Netral,0.0,Indonesia,celta vigo,100+,Prediksi Skor Getafe vs Celta Vigo di Liga Spanyol: Adu Ketajaman yang Masih Tumpul
2026-09-08 05:19:55,Google Trends ID,,,https://www.vidio.com/blog/pekan-pertama-ucl-2026-27/,Netral,0.0,Indonesia,liga champions uefa,2000+,Tempat Nonton Pekan Pertama UCL 2026/27: Persaingan Liga Champions Dimulai
2026-09-08 08:00:06,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMilAFBVV95cUxPR0k5YlR2aGRGUXhBME9KMHVkRllYSnhGNTJvQnpsOUdoMEhFdGluYThFTDNkT0NMb09tM2NRam5xd2FnSmEzSEJ1M2xPRl9MTnRNUE8wamZZSDBITUptZUlpUVRkdUNYSk94bGFHaG5xZ2ZWdHpSTWJVQnNraHlHclRMSFE0R2U3VUM4Ukc4cTVKcGFY?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,Pedagang Viral di TikTok Klarifikasi Isu Uang Tempat Rp20 Juta
2026-09-08 08:00:06,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPT1JkV253MndjcEZ0c00tLVN0NUdvaGx0TUY2b0pXcmRqUEdhZjBJWUl2b1h2OVlRS3RHbnljOG50N3VySk1XaEFhQ09TY0ppS3U4MmJYaFhWenAwSzdIeEdndDlsTHNDNHgyX3RBRGpSQUJCNENVWV9qQndqZGhPWEgyaGNiWWRCcDlaRWNpWmdRR2xnT0ZKZFVMdmNGbUpvckQzTXU3N1BlQQ?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,Video Musik Isyana Lembaran Buku Tantang Algoritma TikTok
2026-09-08 08:00:06,X (Twitter) Trending,,,https://x.com/search?q=Situasi%20Apapun%20Hadir&src=trend_click,Netral,0.0,Indonesia,Situasi Apapun Hadir,Trending di X,Trending Topic X Indonesia: Situasi Apapun Hadir
2026-09-08 08:00:06,Google Trends ID,,,https://cepr.org/voxeu/columns/generative-ai-learning-penalty-secondary-school,Negatif,-30.0,Indonesia,classroom,2000+,The generative AI learning penalty in secondary school
2026-09-08 08:00:06,Google Trends ID,,,https://www.flashscore.com/news/us-open-live-tracker-september-7-zverev-swiatek-rybakina-osaka-gauff/lUKtHFnl/,Netral,0.0,Indonesia,coco gauff,100+,"US Open LIVE: Rybakina roars past Osaka, Cerundolo battling Blockx"
2026-09-08 08:00:06,Google Trends ID,,,https://tribratanews.polri.go.id/blog/nasional-3/kapolri-pemerintah-tegaskan-larangan-bakar-lahan-di-tengah-el-nino-105578,Netral,0.0,Indonesia,pemerintah,200+,Kapolri :Pemerintah Tegaskan Larangan Bakar Lahan di Tengah El Nino
2026-09-08 08:00:06,Google Trends ID,,,https://onefootball.com/es/noticias/se-repartieron-puntos-43420532,Netral,0.0,Indonesia,argentinos juniors,200+,Se repartieron puntos
2026-09-08 08:35:02,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPdXh5VGRIQ1c3MU91YXAxc2E4bVY5R1h2VlNMQ2JFeGo3dnJhOEc1VUcxQVZaUUlDd2hMT202Qjd6bmlKN1BtVllrOFNMb0NuSDNkZWkzSTZsMEVLY0xYaTNGbEJPRG9yOUdBN3hDb2FaUzRLWXdHWllMWkJlc3Y5UXJuX2xfckxIczR3c3hQbVYxOENTYUR2b0xVZmpPS1ZsMEJZNHJnQ1YyZVBvNVhSdVBPVHdHb01yR0dmUmxKMGVZY0hXYmQyaWdHNHdOUHQ5cDNNLdIB2gFBVV95cUxNTkctaVY4TnR4YVUzc05RS0RTaWdsN3NtUm1NUGlwR3FqUktEa0M3dXl6VjVLZW1oemxHNEI4QWtMVkxIVnZmNUVUdWdNaXo0Qmg0c1B5cDNnWnBrM2lvcHZtZUZaQnFHX3c2OUw4OF9yOGxOZzgtNGJhUFdMaFZPUmx3RDVlUWdjZmdrRG9zT29PU2xqTE9VbmhQT2t0RjRFU0s3amtjVkVoeUExRkozQlJad1B2Qks4MXA1MENqbXh2czVZRnZIUEk5Ukt6VXA4VmlQbVdvYnJvQQ?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Link Video Viral 21 Detik Kepsek dan Guru SD Pekalongan Diburu, Waspadai Tautan Palsu"
